Ref;Val;Package;PosX;PosY;Rot;Side
C20;22uF;C_0402_1005Metric;185.000.000;-73.400.000;-90.000.000;bottom
C23;100nF;C_0402_1005Metric;184.375.000;-63.400.000;-90.000.000;bottom
C24;100nF;C_0402_1005Metric;187.500.000;-73.400.000;-90.000.000;bottom
C26;100nF;C_0402_1005Metric;185.975.000;-73.400.000;90.000.000;bottom
C27;10uF;C_0402_1005Metric;173.900.000;-94.450.000;180.000.000;bottom
C28;10uF;C_0402_1005Metric;186.170.000;-93.345.000;180.000.000;bottom
C29;220nF;C_0402_1005Metric;173.900.000;-93.475.000;180.000.000;bottom
C30;220nF;C_0402_1005Metric;186.170.000;-94.310.000;180.000.000;bottom
C31;1uF;C_0402_1005Metric;163.600.000;-94.650.000;0.000000;bottom
C32;1uF;C_0402_1005Metric;176.300.000;-94.870.000;90.000.000;bottom
C33;1uF;C_0402_1005Metric;158.225.000;-96.595.000;90.000.000;bottom
C34;0.1uF;C_0402_1005Metric;163.975.000;-92.875.000;-90.000.000;bottom
C35;100nF;C_0402_1005Metric;176.300.000;-92.650.000;-90.000.000;bottom
C36;2.2uF;C_0402_1005Metric;154.000.000;-95.300.000;-90.000.000;bottom
C37;22uF;C_0402_1005Metric;173.210.000;-86.400.000;-90.000.000;bottom
C38;22uF;C_0402_1005Metric;184.725.000;-85.920.000;-90.000.000;bottom
C39;22uF;C_0402_1005Metric;173.210.000;-89.160.000;90.000.000;bottom
C40;22uF;C_0402_1005Metric;184.750.000;-88.020.000;90.000.000;bottom
C41;22uF;C_0402_1005Metric;174.230.000;-89.160.000;90.000.000;bottom
C42;22uF;C_0402_1005Metric;186.000.000;-85.920.000;-90.000.000;bottom
C43;22uF;C_0402_1005Metric;174.230.000;-86.410.000;-90.000.000;bottom
C44;22uF;C_0402_1005Metric;186.000.000;-88.020.000;90.000.000;bottom
C45;1uF;C_0402_1005Metric;184.875.000;-79.155.000;-90.000.000;bottom
C46;1uF;C_0402_1005Metric;152.237.500;-57.987.500;0.000000;bottom
C47;1uF;C_0402_1005Metric;190.575.000;-81.080.000;-90.000.000;bottom
C48;1uF;C_0402_1005Metric;154.117.500;-52.537.500;0.000000;bottom
C50;100nF;C_0402_1005Metric;170.800.000;-70.175.000;180.000.000;bottom
J8;USB_B_Micro;USB_Micro-B_Molex_47346-0001;196.200.000;-75.450.000;-90.000.000;bottom
J10;Micro_SD_Card;MOLEX_503398-1892;172.410.000;-59.415.000;0.000000;bottom
L1;2.2uH;L_Chilisin_BMRB00060650;168.135.000;-87.520.000;0.000000;bottom
L2;15uH;L_Chilisin_BMRB00060650;179.450.000;-87.305.000;0.000000;bottom
R6;22R;R_0402_1005Metric;192.425.000;-75.550.000;180.000.000;bottom
R7;22R;R_0402_1005Metric;192.425.000;-74.575.000;180.000.000;bottom
R9;100k;R_0402_1005Metric;188.700.000;-73.390.000;-90.000.000;bottom
R11;1k;R_0402_1005Metric;190.760.000;-63.725.000;0.000000;bottom
R12;1k;R_0402_1005Metric;190.925.000;-73.400.000;-90.000.000;bottom
R13;1k;R_0402_1005Metric;189.725.000;-73.400.000;90.000.000;bottom
R14;100k;R_0402_1005Metric;164.125.000;-98.025.000;90.000.000;bottom
R15;24.9k;R_0402_1005Metric;166.425.000;-97.525.000;0.000000;bottom
R16;160k;R_0402_1005Metric;176.275.000;-97.870.000;90.000.000;bottom
R17;20k;R_0402_1005Metric;178.775.000;-97.345.000;0.000000;bottom
R18;100k;R_0402_1005Metric;172.400.000;-70.675.000;-90.000.000;bottom
R19;100k;R_0402_1005Metric;178.125.000;-68.585.000;-90.000.000;bottom
R20;100k;R_0402_1005Metric;174.475.000;-70.675.000;-90.000.000;bottom
R21;100k;R_0402_1005Metric;167.975.000;-70.675.000;-90.000.000;bottom
R22;100k;R_0402_1005Metric;173.425.000;-70.675.000;-90.000.000;bottom
U5;MAX7456EUI_;SOP65P637X110-28N;187.300.000;-68.307.500;-90.000.000;bottom
U6;LMR33630ADDA;Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias;168.625.000;-94.005.000;180.000.000;bottom
U7;LMR33630ADDA;Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias;180.975.000;-93.770.000;180.000.000;bottom
U8;TLV76733DRVT;SON65P200X200X80-7N;156.075.000;-95.925.000;0.000000;bottom
U9;AP2112K-3.3;SOT-23-5;187.850.000;-80.587.500;0.000000;bottom
U10;AP2112K-3.3;SOT-23-5;153.662.500;-55.325.000;90.000.000;bottom
C1;100nF;C_0402_1005Metric;164.875.000;-81.075.000;0.000000;top
C2;100nF;C_0402_1005Metric;183.225.000;-84.875.000;0.000000;top
C3;100nF;C_0402_1005Metric;164.925.000;-86.450.000;180.000.000;top
C4;2.2uF;C_0402_1005Metric;183.230.000;-85.875.000;0.000000;top
C5;10nF;C_0402_1005Metric;185.025.000;-89.220.000;-90.000.000;top
C6;100nF;C_0402_1005Metric;166.975.000;-74.950.000;90.000.000;top
C7;8pF;C_0402_1005Metric;162.920.000;-70.975.000;180.000.000;top
C8;8pF;C_0402_1005Metric;161.475.000;-76.100.000;0.000000;top
C9;100nF;C_0402_1005Metric;166.670.000;-71.275.000;180.000.000;top
C10;100nF;C_0402_1005Metric;172.050.000;-83.305.000;-90.000.000;top
C11;100nF;C_0402_1005Metric;179.050.000;-83.300.000;-90.000.000;top
C12;100nF;C_0402_1005Metric;183.400.000;-71.025.000;0.000000;top
C13;100nF;C_0402_1005Metric;170.750.000;-65.975.000;90.000.000;top
C14;100nF;C_0402_1005Metric;166.630.000;-76.400.000;180.000.000;top
C15;10nF;C_0402_1005Metric;166.630.000;-77.375.000;180.000.000;top
C16;2.2uF;C_0402_1005Metric;178.050.000;-83.300.000;-90.000.000;top
C17;2.2uF;C_0402_1005Metric;183.400.000;-72.000.000;0.000000;top
C18;22pF;C_0402_1005Metric;184.400.000;-68.775.000;90.000.000;top
C19;22pF;C_0402_1005Metric;190.175.000;-67.850.000;-90.000.000;top
C21;22uF;C_1210_3225Metric;184.875.000;-60.250.000;90.000.000;top
C22;100nF;C_0402_1005Metric;168.752.500;-65.275.000;90.000.000;top
C25;100uF;C_1210_3225Metric;181.050.000;-60.275.000;-90.000.000;top
C49;100nF;C_0402_1005Metric;173.727.500;-90.672.500;0.000000;top
D1;LED;LED_0603_1608Metric;158.130.000;-73.970.000;180.000.000;top
J1;UART1;JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal;196.800.000;-79.500.000;90.000.000;top
J2;CAN1;JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal;165.525.000;-53.225.000;180.000.000;top
J3;UART3;JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal;180.975.000;-96.750.000;0.000000;top
J4;SPI2;JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal;169.225.000;-96.750.000;0.000000;top
J5;I2C1;JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal;175.025.000;-53.225.000;180.000.000;top
J6;Timer;JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal;153.150.000;-81.625.000;-90.000.000;top
J7;CAM;JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal;184.500.000;-53.225.000;180.000.000;top
J9;ST-Link Conn;JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal;196.800.000;-69.950.000;90.000.000;top
J11;QMC5883;JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal;153.225.000;-68.850.000;-90.000.000;top
R1;0R;R_0402_1005Metric;157.675.000;-84.750.000;0.000000;top
R2;10k;R_0402_1005Metric;166.000.000;-74.950.000;90.000.000;top
R3;10k;R_0402_1005Metric;173.250.000;-65.545.000;-90.000.000;top
R4;0R;R_0402_1005Metric;157.525.000;-78.025.000;90.000.000;top
R5;0R;R_0402_1005Metric;158.600.000;-78.025.000;-90.000.000;top
R8;75;R_0402_1005Metric;184.400.000;-57.125.000;180.000.000;top
R10;75;R_0402_1005Metric;182.125.000;-57.225.000;180.000.000;top
R23;4.7k;R_0402_1005Metric;175.225.000;-65.545.000;-90.000.000;top
R24;4.7k;R_0402_1005Metric;174.250.000;-65.550.000;90.000.000;top
R25;220;R_0402_1005Metric;157.590.000;-72.440.000;0.000000;top
U1;BMI088;PQFN50P450X300X100-16N;164.900.000;-83.700.000;0.000000;top
U2;ICM-42688-P;PQFN50P300X250X97-14N;182.950.000;-88.250.000;90.000.000;top
U3;STM32F405RGTx;LQFP-64_10x10mm_P0.5mm;175.000.000;-75.000.000;0.000000;top
U4;FRAM;SOIC127P602X172-8N;164.102.500;-66.375.000;180.000.000;top
U11;MS5611-01BA;LGA-8_3x5mm_P1.25mm;175.125.000;-88.050.000;90.000.000;top
Y1;8MHz;Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm;162.175.000;-73.575.000;180.000.000;top
Y2;27MHz;Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm;187.300.000;-68.307.500;0.000000;top
